DATE,INDIRLTLT01STM
2011-12-01,8.56
2012-01-01,8.235
2012-02-01,8.1925
2012-03-01,8.374
2012-04-01,8.5875
2012-05-01,8.565
2012-06-01,8.204
2012-07-01,8.096666667
2012-08-01,8.196
2012-09-01,8.175
2012-10-01,8.1475
2012-11-01,8.204
2012-12-01,8.1375
2013-01-01,7.8725
2013-02-01,7.8375
2013-03-01,7.91
2013-04-01,7.83
2013-05-01,7.502
2013-06-01,7.4025
2013-07-01,7.725
2013-08-01,8.328
2013-09-01,8.6025
2013-10-01,8.5725
2013-11-01,8.862
2013-12-01,8.875
2014-01-01,8.764
2014-02-01,8.8125
2014-03-01,8.8375
2014-04-01,8.9875
2014-05-01,8.752
2014-06-01,8.6325
2014-07-01,8.655
2014-08-01,8.56
2014-09-01,8.4925
2014-10-01,8.402
2014-11-01,8.185
2014-12-01,7.955
2015-01-01,7.794
2015-02-01,7.7325
2015-03-01,7.8225
2015-04-01,7.836666667
2015-05-01,7.852
2015-06-01,7.8075
2015-07-01,7.816
2015-08-01,7.785
2015-09-01,7.7325
2015-10-01,7.598
2015-11-01,7.745
2015-12-01,7.7925
2016-01-01,7.668
2016-02-01,7.72
2016-03-01,7.585
2016-04-01,7.436
2016-05-01,7.28
2016-06-01,7.5025
2016-07-01,7.352
2016-08-01,7.1425
2016-09-01,6.864
2016-10-01,6.7825
2016-11-01,6.6125
2016-12-01,6.526
2017-01-01,6.7925
2017-02-01,6.98
2017-03-01,7.118
2017-04-01,7.165
2017-05-01,7.115
2017-06-01,6.584
2017-07-01,6.55
2017-08-01,6.6
2017-09-01,6.724
2017-10-01,6.945
2017-11-01,7.1675
2017-12-01,7.35
2018-01-01,7.2175
2018-02-01,7.57
2018-03-01,7.608
2018-04-01,7.5475
2018-05-01,7.8475
2018-06-01,7.936
2018-07-01,7.8
2018-08-01,7.826
2018-09-01,8.02
2018-10-01,7.925
2018-11-01,7.782
2018-12-01,7.3725
2019-01-01,7.3475
2019-02-01,7.43
2019-03-01,7.346
2019-04-01,7.4225
2019-05-01,7.33
2019-06-01,6.97
2019-07-01,6.6
2019-08-01,6.62
2019-09-01,6.82
2019-10-01,6.54
2019-11-01,6.64
2019-12-01,6.85
2020-01-01,6.82
2020-02-01,6.66
2020-03-01,6.37
2020-04-01,6.68
2020-05-01,5.92
2020-06-01,5.86
2020-07-01,5.81
2020-08-01,6.01
2020-09-01,6.03
2020-10-01,5.95
2020-11-01,5.89
2020-12-01,5.89
2021-01-01,5.94
2021-02-01,6.2
2021-03-01,6.35
2021-04-01,6.28
2021-05-01,6.23
2021-06-01,6.27
2021-07-01,6.21
2021-08-01,6.28
2021-09-01,6.19
2021-10-01,6.36
2021-11-01,6.35
2021-12-01,6.44
2022-01-01,6.65
2022-02-01,6.75
2022-03-01,6.82
2022-04-01,7.11
2022-05-01,7.39
2022-06-01,7.53
2022-07-01,7.4
